---------------------------------------------
 rehash               | dummy                
---------------------------------------------
 VAZIO                | 97                   
 452823639416         | DUMMY                
 VAZIO                | 97                   
 VAZIO                | 452823639416         
 VAZIO                | DUMMY                
 VAZIO                | 97                   
 VAZIO                | VAZIO                
 6386277              | 107148485420910      
 107148485420910      | DUMMY                
 VAZIO                | 6386277              
 VAZIO                | VAZIO                
 115923104330357      | 115923104330357      
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 110386890762094      | DUMMY                
 VAZIO                | DUMMY                
 VAZIO                | DUMMY                
 VAZIO                | 110386890762094      
 VAZIO                | VAZIO                
 VAZIO                | DUMMY                
 1952997748           | DUMMY                
 512852845416         | 1952997748           
 439956631140         | DUMMY                
 VAZIO                | 439956631140         
 2003397740           | DUMMY                
 26995                | DUMMY                
 1952999795           | DUMMY                
 VAZIO                | 2003397740           
 VAZIO                | 512852845416         
 VAZIO                | 26995                
 1970496868           | DUMMY                
 VAZIO                | 1952999795           
 VAZIO                | DUMMY                
 109330312619379      | 109330312619379      
 115918758048358      | 115918758048358      
 VAZIO                | DUMMY                
 500135454067         | DUMMY                
 VAZIO                | DUMMY                
 VAZIO                | 500135454067         
 VAZIO                | 1970496868           
 VAZIO                | DUMMY                
 1836020596           | 1836020596           
 VAZIO                | DUMMY                
 VAZIO                | DUMMY                
 1684108385           | 1684108385           
 1684108385           | 1684108385           
 7366002              | 7366002              
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 1718775661           | 1718775661           
 VAZIO                | DUMMY                
 VAZIO                | DUMMY                
 28530                | DUMMY                
 6385273              | 28530                
 VAZIO                | 6385273              
 VAZIO                | DUMMY                
 VAZIO                | DUMMY                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 7823737              | 7823737              
 1936682341           | 1936682341           
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | DUMMY                
 VAZIO                | DUMMY                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | DUMMY                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 130160803538291      | 130160803538291      
 7168368              | 7168368              
 108256318678388      | 7168368              
 108256318678388      | 108256318678388      
 7038329              | DUMMY                
 7168368              | DUMMY                
 1634497391           | DUMMY                
 VAZIO                | 108256318678388      
 482670637683         | DUMMY                
 VAZIO                | 7038329              
 112654549218409      | DUMMY                
 112654549218409      | 112654549218409      
 112654549218409      | 112654549218409      
 VAZIO                | 112654549218409      
 VAZIO                | 1634497391           
 VAZIO                | 482670637683         
 VAZIO                | DUMMY                
 VAZIO                | DUMMY                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 1751217000           | DUMMY                
 1751217000           | DUMMY                
 1751217000           | DUMMY                
 6713202              | DUMMY                
 110386773062761      | DUMMY                
 1751217000           | DUMMY                
 1751217000           | 1751217000           
 1751217000           | 1751217000           
 107079497903469      | 1751217000           
 1751217000           | 1751217000           
 1751217000           | DUMMY                
 VAZIO                | 1751217000           
 VAZIO                | DUMMY                
 VAZIO                | DUMMY                
 VAZIO                | 107079497903469      
 VAZIO                | DUMMY                
 VAZIO                | 1751217000           
 VAZIO                | DUMMY                
 VAZIO                | DUMMY                
 VAZIO                | 1751217000           
 VAZIO                | DUMMY                
 VAZIO                | 110386773062761      
 VAZIO                | 1751217000           
 VAZIO                | DUMMY                
 508440638821         | DUMMY                
 VAZIO                | 508440638821         
 VAZIO                | DUMMY                
 VAZIO                | 6713202              
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | DUMMY                
 126943923168612      | DUMMY                
 115918758503789      | 115918758503789      
 VAZIO                | DUMMY                
 VAZIO                | 126943923168612      
 VAZIO                | DUMMY                
 115923103347316      | 115923103347316      
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 109269930763635      | 109269930763635      
 28518                | DUMMY                
 418531926393         | 418531926393         
 418531926393         | 418531926393         
 28518                | 28518                
 28518                | 28518                
 28518                | 28518                
 28518                | 28518                
 VAZIO                | DUMMY                
 125779752218478      | DUMMY                
 129117075895653      | 129117075895653      
 VAZIO                | DUMMY                
 VAZIO                | 125779752218478      
 VAZIO                | 28518                
 VAZIO                | VAZIO                
 1768846447           | DUMMY                
 1801812339           | 1801812339           
 24942                | DUMMY                
 24942                | 1768846447           
 1952997742           | 24942                
 VAZIO                | 24942                
 121450625394034      | DUMMY                
 121450625394034      | 121450625394034      
 VAZIO                | 121450625394034      
 VAZIO                | 1952997742           
 VAZIO                | DUMMY                
 VAZIO                | DUMMY                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 VAZIO                | VAZIO                
 499850046565         | DUMMY                
 110386890764901      | DUMMY                
 111520711995257      | 110386890764901      
 107148485813097      | 107148485813097      
